entry_name	accession	gene_symbol	msa_file
ASPM_HUMAN	Q8IZT6	ASPM	ASPM_HUMAN_b10.a2m
ASSY_HUMAN	P00966	ASS1	ASSY_HUMAN_b03.a2m
ASXL2_HUMAN	Q76L83	ASXL2	ASXL2_HUMAN_b05.a2m
ASXL3_HUMAN	Q9C0F0	ASXL3	ASXL3_HUMAN_b01.a2m
AT11C_HUMAN	Q8NB49	ATP11C	AT11C_HUMAN_b07.a2m
AT132_HUMAN	Q9NQ11	ATP13A2	AT132_HUMAN_b07.a2m
AT1A2_HUMAN	P50993	ATP1A2	AT1A2_HUMAN_b07.a2m
AT1A3_HUMAN	P13637	ATP1A3	AT1A3_HUMAN_b07.a2m
AT2A2_HUMAN	P16615	ATP2A2	AT2A2_HUMAN_b07.a2m
AT2B2_HUMAN	Q01814	ATP2B2	AT2B2_HUMAN_b10.a2m
AT2B3_HUMAN	Q16720	ATP2B3	AT2B3_HUMAN_b10.a2m
AT2B4_HUMAN	P23634	ATP2B4	AT2B4_HUMAN_b10.a2m
AT2C1_HUMAN	P98194	ATP2C1	AT2C1_HUMAN_b07.a2m
AT2C2_HUMAN	O75185	ATP2C2	AT2C2_HUMAN_b03.a2m
AT2L2_HUMAN	Q8IUZ5	PHYKPL	AT2L2_HUMAN_b03.a2m
AT8A2_HUMAN	Q9NTI2	ATP8A2	AT8A2_HUMAN_b10.a2m
AT8B1_HUMAN	O43520	ATP8B1	AT8B1_HUMAN_b07.a2m
ATCAY_HUMAN	Q86WG3	ATCAY	ATCAY_HUMAN_b01.a2m
ATD3A_HUMAN	Q9NVI7	ATAD3A	ATD3A_HUMAN_b03.a2m
ATF6A_HUMAN	P18850	ATF6	ATF6A_HUMAN_b03.a2m
ATG5_HUMAN	Q9H1Y0	ATG5	ATG5_HUMAN_b01.a2m
ATL4_HUMAN	Q6UY14	ADAMTSL4	ATL4_HUMAN_b10.a2m
ATLA1_HUMAN	Q8WXF7	ATL1	ATLA1_HUMAN_b01.a2m
ATLA3_HUMAN	Q6DD88	ATL3	ATLA3_HUMAN_b01.a2m
ATM_HUMAN	Q13315	ATM	ATM_HUMAN_b03.a2m
ATNG_HUMAN	P54710	FXYD2	ATNG_HUMAN_b03.a2m
ATOH7_HUMAN	Q8N100	ATOH7	ATOH7_HUMAN_b03.a2m
ATP5E_HUMAN	P56381	ATP5F1E	ATP5E_HUMAN_b03.a2m
ATP7A_HUMAN	Q04656	ATP7A	ATP7A_HUMAN_b07.a2m
ATP7B_HUMAN	P35670	ATP7B	ATP7B_HUMAN_b10.a2m
ATPA_HUMAN	P25705	ATP5F1A	ATPA_HUMAN_b01.a2m
ATPD_HUMAN	P30049	ATP5F1D	ATPD_HUMAN_b03.a2m
ATPF2_HUMAN	Q8N5M1	ATPAF2	ATPF2_HUMAN_b03.a2m
ATRX_HUMAN	P46100	ATRX	ATRX_HUMAN_b03.a2m
ATS13_HUMAN	Q76LX8	ADAMTS13	ATS13_HUMAN_b03.a2m
ATTY_HUMAN	P17735	TAT	ATTY_HUMAN_b07.a2m
AUHM_HUMAN	Q13825	AUH	AUHM_HUMAN_b03.a2m
AUTS2_HUMAN	Q8WXX7	AUTS2	AUTS2_HUMAN_b01.a2m
AVIL_HUMAN	O75366	AVIL	AVIL_HUMAN_b01.a2m
AXIN2_HUMAN	Q9Y2T1	AXIN2	AXIN2_HUMAN_b01.a2m
B2MG_HUMAN	P61769	B2M	B2MG_HUMAN_b03.a2m
B3AT_HUMAN	P02730	SLC4A1	B3AT_HUMAN_b05.a2m
B3GA3_HUMAN	O94766	B3GAT3	B3GA3_HUMAN_b03.a2m
B3GL2_HUMAN	Q8NCR0	B3GALNT2	B3GL2_HUMAN_b01.a2m
B3GLT_HUMAN	Q6Y288	B3GLCT	B3GLT_HUMAN_b01.a2m
B3GN6_HUMAN	Q6ZMB0	B3GNT6	B3GN6_HUMAN_b01.a2m
B3GT6_HUMAN	Q96L58	B3GALT6	B3GT6_HUMAN_b03.a2m
B4GA1_HUMAN	O43505	B4GAT1	B4GA1_HUMAN_b01.a2m
